组织|编码,组织|名称,商品|编码,商品|名称,商品|条形码,商品|单位,商品|规格,库存数量,含税库存成本,无税库存成本,结算方式,供应商编码,供应商名称
3702031,青岛胶南片区第335加油站便利店,45967,青岛啤酒易捷9°330ml,6901035618694,罐,330ml,72000,267120,236389.38,经销,43461980,山东青鑫实业有限公司
3702113,青岛市区北部片区第92加油站便利店w,13367,青岛醇厚啤酒11°330ml,6901035609265,听,330ml,48000,176160,155893.81,经销,43461980,山东青鑫实业有限公司
3702093,青岛华孚第13加油站便利店w,41942,长白山天泉天然矿泉水430ml,6934302617021,瓶,430ml,40980,49246.5,43121.66,经销,30250000,中国石化销售有限公司
3702073,青岛即墨片区第32加油站便利店,41347,鸥露本色手帕纸8片,6944312683626,包,8片,32204,15264.14,13509.59,经销,30250000,中国石化销售有限公司
3702116,青岛莱西片区第103加油站便利店,45967,青岛啤酒易捷9°330ml,6901035618694,罐,330ml,30684,113837.64,100741.87,经销,43461980,山东青鑫实业有限公司
3702070,青岛平度片区第502加油站便利店,45967,青岛啤酒易捷9°330ml,6901035618694,罐,330ml,29730,110298.3,97609.69,经销,43461980,山东青鑫实业有限公司
3702093,青岛华孚第13加油站便利店w,13367,青岛醇厚啤酒11°330ml,6901035609265,听,330ml,28972,106327.24,91969.86,经销,43461980,山东青鑫实业有限公司
3702249,青岛市区北部片区第76加油站便利店w,13367,青岛醇厚啤酒11°330ml,6901035609265,听,330ml,25239,92627.13,81970.87,经销,43461980,山东青鑫实业有限公司
3702100,青岛市区北部片区第35加油站便利店,43393,优嘉沃精品水果团购专用5元1*1,2000102453672,盒,1*1,25205,119723.75,109838.3,代销,47443520,山东优品嘉杭贸易有限公司
3702044,青岛市区北部片区第44加油站便利店,13367,青岛醇厚啤酒11°330ml,6901035609265,听,330ml,24003,88091.01,77956.62,经销,43461980,山东青鑫实业有限公司
3702009,青岛市区北部片区第10加油站便利店,13367,青岛醇厚啤酒11°330ml,6901035609265,听,330ml,23480,86171.6,76258.05,经销,43461980,山东青鑫实业有限公司
3702003,青岛市区北部片区第36加油站便利店,44509,青岛啤酒易捷9°600ml,6901035618601,瓶,600ml,20991,81235.17,71889.53,经销,43461980,山东青鑫实业有限公司
3702093,青岛华孚第13加油站便利店w,40552,鸥露本色面巾纸390张,6944312683503,包,390张,19028,56799.58,50191.91,经销,30250000,中国石化销售有限公司
